"Paper","Total Citations","TC per Year"
"CHEUNG P, 1995, INT J EATING DISORD","9","0.3462"
"MANGWETH B, 1995, INT J EATING DISORD","9","0.3462"
"NEUBERGER SK, 1995, INT J EATING DISORD","9","0.3462"
"VIZE CM, 1994, INT J EATING DISORD","9","0.3333"
"TORDJMAN S, 1994, INT J EATING DISORD","9","0.3333"
"JACKSON C, 1993, INT J EATING DISORD-a","9","0.3214"
"WALKER MK, 1992, INT J EATING DISORD","9","0.3103"
"FORD KA, 1992, INT J EATING DISORD","9","0.3103"
"LEUNG F, 1991, INT J EATING DISORD","9","0.3000"
"STRIEGELÂ€MOORE RH, 1991, INT J EATING DISORD","9","0.3000"
"HSU LKG, 1991, INT J EATING DISORD-a","9","0.3000"
"ABRAMS M, 1991, INT J EATING DISORD","9","0.3000"
"PARKER SL, 1991, INT J EATING DISORD","9","0.3000"
"FISHER M, 1990, INT J EATING DISORD","9","0.2903"
"PANTANO M, 1989, INT J EATING DISORD","9","0.2812"
"WEBB JG, 1988, INT J EATING DISORD","9","0.2727"
"MIZES JS, 1988, INT J EATING DISORD","9","0.2727"
"THOMPSON JP, 1988, INT J EATING DISORD","9","0.2727"
"YELLOWLEES P, 1988, INT J EATING DISORD","9","0.2727"
"MITCHELL JE, 1987, INT J EATING DISORD","9","0.2647"
"BLINDER BJ, 1986, INT J EATING DISORD","9","0.2571"
"HOHLSTEIN LA, 1986, INT J EATING DISORD","9","0.2571"
"WEEDAÂ€MANNAK WL, 1983, INT J EATING DISORD","9","0.2368"
"LUCAS AR, 1983, INT J EATING DISORD","9","0.2368"
"MITCHELL JE, 1983, INT J EATING DISORD","9","0.2368"
"SCHWARTZ RC, 1982, INT J EATING DISORD","9","0.2308"
"ABBOTT S, 2018, J EATING DISORD","9","3.0000"
"SPETTIGUE W, 2018, J EATING DISORD","9","3.0000"
"TOUYZ S, 2017, J EATING DISORD","9","2.2500"
"MAGINOT TR, 2017, J EATING DISORD","9","2.2500"
"HILL L, 2016, J EATING DISORD","9","1.8000"
"KOLNES L-J, 2016, J EATING DISORD","9","1.8000"
"BRYTEK-MATERA A, 2016, J EATING DISORD","9","1.8000"
"ANDERSON KE, 2015, J EATING DISORD","9","1.5000"
"MANTILLA EF, 2015, J EATING DISORD","9","1.5000"
"SCOLNICK B, 2014, J EATING DISORD","9","1.2857"
"SAINSBURY A, 2014, J EATING DISORD-a","9","1.2857"
"DIAS BS, 2020, EATING WEIGHT DISORD","9","9.0000"
"CLIFFORD T, 2019, EATING WEIGHT DISORD","9","4.5000"
"BRYTEK-MATERA A, 2019, EATING WEIGHT DISORD","9","4.5000"
"MANSOURI M, 2019, EATING WEIGHT DISORD","9","4.5000"
"MOLLER S, 2019, EATING WEIGHT DISORD-a","9","4.5000"
"LANTZ EL, 2018, EATING WEIGHT DISORD","9","3.0000"
"KOBALL AM, 2018, EATING WEIGHT DISORD","9","3.0000"
"WANG SB, 2017, EATING WEIGHT DISORD","9","2.2500"
"YAHIA N, 2017, EATING WEIGHT DISORD","9","2.2500"
"ROUSSELET M, 2017, EATING WEIGHT DISORD","9","2.2500"
"ELIACIK K, 2016, EATING WEIGHT DISORD","9","1.8000"
"NAEIMI AF, 2016, EATING WEIGHT DISORD","9","1.8000"
"CESARE C, 2016, EATING WEIGHT DISORD","9","1.8000"
"MACHADO BC, 2016, EATING WEIGHT DISORD","9","1.8000"
"DENOTH F, 2016, EATING WEIGHT DISORD","9","1.8000"
"BAEZA-VELASCO C, 2016, EATING WEIGHT DISORD","9","1.8000"
"GELIN Z, 2016, EATING WEIGHT DISORD","9","1.8000"
"BRADEN AL, 2015, EATING WEIGHT DISORD","9","1.5000"
"BRYTEK-MATERA A, 2015, EATING WEIGHT DISORD","9","1.5000"
"STHENEUR C, 2014, EATING WEIGHT DISORD","9","1.2857"
"CARTON AM, 2014, EATING WEIGHT DISORD","9","1.2857"
"BOU KHALIL R, 2014, EATING WEIGHT DISORD-a","9","1.2857"
"BUSCEMI S, 2013, EATING WEIGHT DISORD","9","1.1250"
"NAKAMURA M, 2013, EATING WEIGHT DISORD","9","1.1250"
"ROBERTO CA, 2013, EATING WEIGHT DISORD","9","1.1250"
"ROUX H, 2013, EATING WEIGHT DISORD","9","1.1250"
"LOMBARDO C, 2012, EATING WEIGHT DISORD","9","1.0000"
"KHALIL RB, 2011, EATING WEIGHT DISORD-a","9","0.9000"
"MCDERMOTT CJ, 2011, EATING WEIGHT DISORD","9","0.9000"
"MCCORMICK L, 2009, EATING WEIGHT DISORD","9","0.7500"
"WRIGHT A, 2009, EATING WEIGHT DISORD","9","0.7500"
"SARRÃ³ S, 2009, EATING WEIGHT DISORD","9","0.7500"
"TANTLEFF-DUNN S, 2009, EATING WEIGHT DISORD","9","0.7500"
"FORMAN-HOFFMAN VL, 2008, EATING WEIGHT DISORD","9","0.6923"
"COOK-DARZENS S, 2008, EATING WEIGHT DISORD","9","0.6923"
"ALLEGRI C, 2008, EATING WEIGHT DISORD","9","0.6923"
"PIETROWSKY R, 2008, EATING WEIGHT DISORD","9","0.6923"
"RUBIO IGS, 2008, EATING WEIGHT DISORD","9","0.6923"
"DALLE GRAVE R, 2007, EATING WEIGHT DISORD","9","0.6429"
"BRANDENBURG BMP, 2007, EATING WEIGHT DISORD","9","0.6429"
"BIRMINGHAM CL, 2006, EATING WEIGHT DISORD-a","9","0.6000"
"MAKINO M, 2006, EATING WEIGHT DISORD","9","0.6000"
"BJÃ¶RK T, 2006, EATING WEIGHT DISORD","9","0.6000"
"UEHARA T, 2005, EATING WEIGHT DISORD","9","0.5625"
"BAIARDI F, 2005, EATING WEIGHT DISORD","9","0.5625"
"DUNKER KLL, 2005, EATING WEIGHT DISORD","9","0.5625"
"MCFARLANE TL, 2005, EATING WEIGHT DISORD","9","0.5625"
"RAMACCIOTTI CE, 2004, EATING WEIGHT DISORD","9","0.5294"
"POMBO M, 2001, EATING WEIGHT DISORD","9","0.4500"
"CINTI S, 2001, EATING WEIGHT DISORD","9","0.4500"
"KUTÃ­LEK S, 2001, EATING WEIGHT DISORD","9","0.4500"
"MAZZETTI DI PIETRALATA M, 2000, EATING WEIGHT DISORD","9","0.4286"
"ZILLI F, 2000, EATING WEIGHT DISORD","9","0.4286"
"SPERANZA M, 1999, EATING WEIGHT DISORD","9","0.4091"
"DIGIOACCHINO RF, 1999, EATING WEIGHT DISORD","9","0.4091"
"JOHANSEN SN, 1998, EAT WEIGHT DISORD","9","0.3913"
"HEMPEL R, 2018, EATING DISORD","9","3.0000"
"CORNING AF, 2016, EATING DISORD","9","1.8000"
"ANDERSON LK, 2015, EATING DISORD","9","1.5000"
"DIMITROPOULOS G, 2015, EATING DISORD","9","1.5000"
"KROSHUS E, 2014, EATING DISORD-a","9","1.2857"
"SVENSSON E, 2013, EATING DISORD","9","1.1250"
"OBEID N, 2013, EATING DISORD","9","1.1250"
"CLAES L, 2012, EATING DISORD","9","1.0000"
"JENKINS PE, 2012, EATING DISORD","9","1.0000"
"GLASNER-EDWARDS S, 2011, EATING DISORD","9","0.9000"
"FINZI-DOTTAN R, 2009, EATING DISORD","9","0.7500"
"AVENA N, 2009, EATING DISORD","9","0.7500"
"LEVITT DH, 2008, EATING DISORD","9","0.6923"
"HUMPHREYS JD, 2007, EATING DISORD","9","0.6429"
"TIMKO CA, 2006, EATING DISORD","9","0.6000"
"HERSCOVICI CR, 2005, EATING DISORD","9","0.5625"
"LAI BP-Y, 2005, EATING DISORD","9","0.5625"
"MARX RD, 2004, EATING DISORD","9","0.5294"
"MARX RD, 2003, EATING DISORD-a","9","0.5000"
"RICE C, 1996, EATING DISORD","9","0.3600"
"WESTPHAL VK, 1996, EATING DISORD","9","0.3600"
"GRAVE RD, 1996, EATING DISORD","9","0.3600"
"URRUTIA V, 1995, EATING DISORD","9","0.3462"
"BRUNNER RL, 1994, EATING DISORD","9","0.3333"
"GLEAVES DH, 1993, EATING DISORD","9","0.3214"
"SOLMI M, 2019, EUR EATING DISORD REV","9","4.5000"
"BONDER R, 2018, EUR EATING DISORD REV","9","3.0000"
"MENEGUZZO P, 2018, EUR EATING DISORD REV","9","3.0000"
"MONTELEONE AM, 2017, EUR EATING DISORD REV","9","2.2500"
"PETERHÃ¤NSEL C, 2017, EUR EATING DISORD REV","9","2.2500"
"LAVENDER JM, 2017, EUR EATING DISORD REV","9","2.2500"
"NANDRINO J-L, 2017, EUR EATING DISORD REV","9","2.2500"
"FÃ¶CKER M, 2016, EUR EATING DISORD REV","9","1.8000"
"TCHANTURIA K, 2016, EUR EATING DISORD REV","9","1.8000"
"BELLOCH A, 2016, EUR EATING DISORD REV","9","1.8000"
"GOODWIN H, 2016, EUR EATING DISORD REV","9","1.8000"
"GONÃ§ALVES S, 2016, EUR EATING DISORD REV-a","9","1.8000"
"ESCUDERO CA, 2016, EUR EATING DISORD REV","9","1.8000"
"MICALI N, 2015, EUR EATING DISORD REV","9","1.5000"
"HOLMES M, 2014, EUR EATING DISORD REV","9","1.2857"
"DEGORTES D, 2014, EUR EATING DISORD REV","9","1.2857"
"JORDAN J, 2014, EUR EATING DISORD REV","9","1.2857"
"MAGALLÃµN-NERI E, 2014, EUR EATING DISORD REV-a","9","1.2857"
"BIRGEGÃ¥RD A, 2013, EUR EATING DISORD REV","9","1.1250"
"WALLER G, 2013, EUR EATING DISORD REV-a","9","1.1250"
"CARDI V, 2012, EUR EATING DISORD REV","9","1.0000"
"HALVORSEN I, 2012, EUR EATING DISORD REV","9","1.0000"
"LECH B, 2012, EUR EATING DISORD REV","9","1.0000"
"GILBERT N, 2012, EUR EATING DISORD REV","9","1.0000"
"VILLARROEL AM, 2012, EUR EATING DISORD REV","9","1.0000"
"SCOFFIER S, 2011, EUR EATING DISORD REV","9","0.9000"
"MCALPINE DE, 2010, EUR EATING DISORD REV","9","0.8182"
"VINCENZI B, 2010, EUR EATING DISORD REV","9","0.8182"
"PEREIRA AT, 2008, EUR EATING DISORD REV","9","0.6923"
"SANCHO C, 2008, EUR EATING DISORD REV","9","0.6923"
"CORDERY H, 2006, EUR EATING DISORD REV","9","0.6000"
"CRISP A, 2006, EUR EATING DISORD REV-a-b-c-d-e-f","9","0.6000"
"KORDY H, 2006, EUR EATING DISORD REV","9","0.6000"
"KESKI-RAHKONEN A, 2005, EUR EATING DISORD REV","9","0.5625"
"DAVIES S, 2005, EUR EATING DISORD REV","9","0.5625"
"RUSSELL GFM, 2004, EUR EATING DISORD REV","9","0.5294"
"NISHIZONO-MAHER A, 2004, EUR EATING DISORD REV","9","0.5294"
"OLIOSI M, 2003, EUR EATING DISORD REV","9","0.5000"
"CRISP A, 2002, EUR EATING DISORD REV","9","0.4737"
"TOMAN E, 2002, EUR EATING DISORD REV","9","0.4737"
"HERMANS MP, 2002, EUR EATING DISORD REV","9","0.4737"
"MANTERO M, 2002, EUR EATING DISORD REV","9","0.4737"
"POIKOLAINEN K, 2001, EUR EATING DISORD REV","9","0.4500"
"DARE C, 2000, EUR EATING DISORD REV","9","0.4286"
"PEVELER R, 2000, EUR EATING DISORD REV","9","0.4286"
"INCEOGLU I, 2000, EUR EATING DISORD REV","9","0.4286"
"LATTIMORE P, 2000, EUR EATING DISORD REV","9","0.4286"
"GUPTA MA, 2000, EUR EATING DISORD REV","9","0.4286"
"BIRCHALL H, 1999, EUR EATING DISORD REV","9","0.4091"
"ARDOVINI C, 1999, EUR EATING DISORD REV","9","0.4091"
"TORIOLA AL, 1996, EUR EATING DISORD REV","9","0.3600"
"HARTLEY P, 1996, EUR EATING DISORD REV","9","0.3600"
"FITZSIMMONS-CRAFT EE, 2019, INT J EATING DISORD","8","4.0000"
"KERR-GAFFNEY J, 2019, INT J EATING DISORD","8","4.0000"
"RASMUSSON G, 2019, INT J EATING DISORD","8","4.0000"
"CHERUBINI V, 2018, INT J EATING DISORD","8","2.6667"
"MONELL E, 2018, INT J EATING DISORD","8","2.6667"
"LYDECKER JA, 2018, INT J EATING DISORD-a","8","2.6667"
"PELLIZZER ML, 2018, INT J EATING DISORD","8","2.6667"
"LINDGREEN P, 2018, INT J EATING DISORD","8","2.6667"
"SADEH-SHARVIT S, 2018, INT J EATING DISORD","8","2.6667"
"MITCHISON D, 2018, INT J EATING DISORD","8","2.6667"
"LARSEN JT, 2017, INT J EATING DISORD","8","2.0000"
"ROSE C, 2017, INT J EATING DISORD","8","2.0000"
"BAUER A, 2017, INT J EATING DISORD","8","2.0000"
"MICIONI DI BONAVENTURA MV, 2017, INT J EATING DISORD","8","2.0000"
"MCELROY SL, 2017, INT J EATING DISORD","8","2.0000"
"BURKE NL, 2017, INT J EATING DISORD","8","2.0000"
"MICHELS N, 2017, INT J EATING DISORD","8","2.0000"
"KOLKO RP, 2017, INT J EATING DISORD","8","2.0000"
"PISETSKY EM, 2017, INT J EATING DISORD-a","8","2.0000"
"SHAW H, 2016, INT J EATING DISORD","8","1.6000"
"MUSTELIN L, 2016, INT J EATING DISORD","8","1.6000"
"GOLDSTEIN M, 2016, INT J EATING DISORD","8","1.6000"
"LOEBER S, 2016, INT J EATING DISORD","8","1.6000"
"TROTTIER K, 2016, INT J EATING DISORD","8","1.6000"
"VALL E, 2016, INT J EATING DISORD","8","1.6000"
"GAUDIANI JL, 2016, INT J EATING DISORD-a","8","1.6000"
"PALAVRAS MA, 2015, INT J EATING DISORD","8","1.3333"
"ANDONY LJ, 2015, INT J EATING DISORD","8","1.3333"
"TANG X, 2015, INT J EATING DISORD","8","1.3333"
"PERRIN EM, 2015, INT J EATING DISORD","8","1.3333"
"ELRAN-BARAK R, 2014, INT J EATING DISORD","8","1.1429"
"SMITH AR, 2014, INT J EATING DISORD","8","1.1429"
"GERBASI ME, 2014, INT J EATING DISORD","8","1.1429"
"AKGÃ¼L S, 2014, INT J EATING DISORD","8","1.1429"
"SCHREIBER-GREGORY DN, 2013, INT J EATING DISORD","8","1.0000"
"MCFARLANE TL, 2013, INT J EATING DISORD","8","1.0000"
"BOGGIANO MM, 2013, INT J EATING DISORD","8","1.0000"
"BERGIN JL, 2012, INT J EATING DISORD","8","0.8889"
"ALHANNA J, 2012, INT J EATING DISORD","8","0.8889"
"LIN T-W, 2012, INT J EATING DISORD","8","0.8889"
"WEISBUCH M, 2011, INT J EATING DISORD","8","0.8000"
"MOND JM, 2011, INT J EATING DISORD","8","0.8000"
"CAIN AS, 2010, INT J EATING DISORD","8","0.7273"
"MOND JM, 2010, INT J EATING DISORD-a-b","8","0.7273"
"DELLAVA JE, 2009, INT J EATING DISORD","8","0.6667"
"GAGNON-GIROUARD M-P, 2009, INT J EATING DISORD","8","0.6667"
"CROW S, 2007, INT J EATING DISORD","8","0.5714"
"SCHWARTZ MB, 2007, INT J EATING DISORD","8","0.5714"
"DANZER G, 2005, INT J EATING DISORD","8","0.5000"
"REAS DL, 2005, INT J EATING DISORD-a","8","0.5000"
"WOODSIDE DB, 2005, INT J EATING DISORD-a","8","0.5000"
"YÃ¼CEL B, 2005, INT J EATING DISORD","8","0.5000"
"SLOAN DM, 2004, INT J EATING DISORD","8","0.4706"
"CARTER FA, 2004, INT J EATING DISORD","8","0.4706"
"HOTTA M, 2004, INT J EATING DISORD","8","0.4706"
"KARIM A, 2003, INT J EATING DISORD","8","0.4444"
"PEETERS F, 2000, INT J EATING DISORD","8","0.3810"
"ASH JB, 1998, INT J EATING DISORD","8","0.3478"
"LEVITAN RD, 1996, INT J EATING DISORD","8","0.3200"
"POPE JR HG, 1996, INT J EATING DISORD","8","0.3200"
"TAMBURRINO MB, 1995, INT J EATING DISORD","8","0.3077"
"ELDREDGE KL, 1994, INT J EATING DISORD","8","0.2963"
"HUNDLEBY JD, 1993, INT J EATING DISORD","8","0.2857"
"BYRNE A, 1993, INT J EATING DISORD","8","0.2857"
"DOLAN B, 1992, INT J EATING DISORD","8","0.2759"
"ROTH DM, 1991, INT J EATING DISORD","8","0.2667"
"SHULMAN D, 1991, INT J EATING DISORD","8","0.2667"
"STEERE J, 1990, INT J EATING DISORD","8","0.2581"
"GRIFFITHS RA, 1990, INT J EATING DISORD","8","0.2581"
"STEINER H, 1990, INT J EATING DISORD-a","8","0.2581"
"KENNEDY SH, 1989, INT J EATING DISORD","8","0.2500"
"POPE HG, 1989, INT J EATING DISORD-a","8","0.2500"
"ALLISON S, 1988, INT J EATING DISORD","8","0.2424"
"LACHENMEYER JR, 1988, INT J EATING DISORD","8","0.2424"
"MARTIN JR, 1988, INT J EATING DISORD","8","0.2424"
"STEIN DM, 1988, INT J EATING DISORD-a","8","0.2424"
"FROMMER MS, 1987, INT J EATING DISORD","8","0.2353"
"GEORGE DT, 1987, INT J EATING DISORD","8","0.2353"
"KOWALSKI PS, 1986, INT J EATING DISORD","8","0.2286"
"LEICHNER PP, 1985, INT J EATING DISORD","8","0.2222"
"CRISP AH, 1985, INT J EATING DISORD","8","0.2222"
"STEINHAUSEN HÂ€C, 1985, INT J EATING DISORD","8","0.2222"
"HOLMGREN S, 1984, INT J EATING DISORD","8","0.2162"
"ANDERSON AE, 1983, INT J EATING DISORD","8","0.2105"
"LLOYD EC, 2018, J EATING DISORD","8","2.6667"
"BARRON LJ, 2017, J EATING DISORD","8","2.0000"
"LANGDON-DALY J, 2017, J EATING DISORD","8","2.0000"
"HALL A, 2016, J EATING DISORD","8","1.6000"
"HANSSON E, 2015, J EATING DISORD","8","1.3333"
"TALBOT D, 2015, J EATING DISORD","8","1.3333"
"DAVENPORT E, 2015, J EATING DISORD","8","1.3333"
"KO N, 2015, J EATING DISORD","8","1.3333"
"SERPELL L, 2013, J EATING DISORD","8","1.0000"
"SURGENOR LJ, 2013, J EATING DISORD","8","1.0000"
"CANCIAN ACM, 2019, EATING WEIGHT DISORD","8","4.0000"
"MAÃ¯ANO C, 2019, EATING WEIGHT DISORD","8","4.0000"
"STHENEUR C, 2019, EATING WEIGHT DISORD","8","4.0000"
"SFEIR E, 2019, EATING WEIGHT DISORD","8","4.0000"
"PARRA-FERNANDEZ ML, 2018, EATING WEIGHT DISORD","8","2.6667"
"REYNOLDS R, 2018, EATING WEIGHT DISORD","8","2.6667"
"MEULE A, 2018, EATING WEIGHT DISORD","8","2.6667"
"GIOMBINI L, 2017, EATING WEIGHT DISORD","8","2.0000"
"KUIPERS GS, 2017, EATING WEIGHT DISORD-a","8","2.0000"
"KELISHADI R, 2017, EATING WEIGHT DISORD","8","2.0000"
"PIETRABISSA G, 2017, EATING WEIGHT DISORD","8","2.0000"
"ANNESI JJ, 2016, EATING WEIGHT DISORD","8","1.6000"
"LORIG F, 2016, EATING WEIGHT DISORD","8","1.6000"
"BRYTEK-MATERA A, 2016, EATING WEIGHT DISORD","8","1.6000"
"BALESTRIERI M, 2015, EATING WEIGHT DISORD","8","1.3333"
"MUSHQUASH AR, 2015, EATING WEIGHT DISORD","8","1.3333"
"LEVINSON CA, 2014, EATING WEIGHT DISORD","8","1.1429"
"WOJCIAK RW, 2014, EATING WEIGHT DISORD","8","1.1429"
"ANDERSON LM, 2014, EATING WEIGHT DISORD","8","1.1429"
"DOMOFF SE, 2014, EATING WEIGHT DISORD","8","1.1429"
"ZANARDO V, 2014, EATING WEIGHT DISORD","8","1.1429"
"CONTI MA, 2013, EATING WEIGHT DISORD","8","1.0000"
"NAAB S, 2013, EATING WEIGHT DISORD","8","1.0000"
"SHARPE H, 2013, EATING WEIGHT DISORD","8","1.0000"
"AMEMIYA N, 2012, EATING WEIGHT DISORD","8","0.8889"
"CARRETERO-GARCÃ­A A, 2012, EATING WEIGHT DISORD","8","0.8889"
"HAYES S, 2012, EATING WEIGHT DISORD","8","0.8889"
"KOSTOPOULOU M, 2011, EATING WEIGHT DISORD","8","0.8000"
"MARSERO S, 2011, EATING WEIGHT DISORD","8","0.8000"
"GIORDANO F, 2010, EATING WEIGHT DISORD","8","0.7273"
"BONFÃ F, 2010, EATING WEIGHT DISORD","8","0.7273"
"CLAVE-BRULE M, 2009, EATING WEIGHT DISORD","8","0.6667"
"ERTEM M, 2008, EATING WEIGHT DISORD","8","0.6154"
"WELTZIN T, 2007, EATING WEIGHT DISORD","8","0.5714"
"PAGE RM, 2007, EATING WEIGHT DISORD","8","0.5714"
"KOTLER LA, 2006, EATING WEIGHT DISORD","8","0.5333"
"MADANAT HN, 2006, EATING WEIGHT DISORD","8","0.5333"
"WILLIAMSON DA, 2005, EATING WEIGHT DISORD","8","0.5000"
"TINAHONES FJ, 2005, EATING WEIGHT DISORD","8","0.5000"
"LUNDGREN JD, 2004, EATING WEIGHT DISORD","8","0.4706"
"BREEN HB, 2004, EATING WEIGHT DISORD","8","0.4706"
"ELFHAG K, 2004, EATING WEIGHT DISORD","8","0.4706"
"RAVALDI C, 2004, EAT WEIGHT DISORD","8","0.4706"
"CENA H, 2003, EATING WEIGHT DISORD","8","0.4444"
"SARTORIO A, 2003, EATING WEIGHT DISORD","8","0.4444"
"GRYLLI V, 2003, EATING WEIGHT DISORD","8","0.4444"
"THIELS C, 2003, EAT WEIGHT DISORD","8","0.4444"
"BJÃ¶RNELV S, 2002, EATING WEIGHT DISORD","8","0.4211"
"RIVA G, 2000, EATING WEIGHT DISORD","8","0.3810"
"VENTURA M, 1999, EATING WEIGHT DISORD","8","0.3636"
"MATSUBAYASHI S, 1998, EAT WEIGHT DISORD","8","0.3478"
"LEBOW J, 2018, EATING DISORD","8","2.6667"
"BOUTELLE KN, 2018, EATING DISORD","8","2.6667"
"SMITH A, 2018, EATING DISORD","8","2.6667"
"FISCHER S, 2018, EATING DISORD","8","2.6667"
"FEDER S, 2017, EATING DISORD","8","2.0000"
"RICHARDS PS, 2017, EATING DISORD","8","2.0000"
"MOSKOVICH AA, 2017, EATING DISORD","8","2.0000"
"TROTTIER K, 2017, EATING DISORD","8","2.0000"
"BARDONE-CONE AM, 2016, EATING DISORD","8","1.6000"
"KIRBY JS, 2015, EATING DISORD","8","1.3333"
"BREWERTON TD, 2015, EATING DISORD","8","1.3333"
"GULLIKSEN KS, 2015, EATING DISORD","8","1.3333"
"FORNEY KJ, 2015, EATING DISORD","8","1.3333"
"TWOHIG MP, 2015, EATING DISORD","8","1.3333"
"SLY R, 2014, EATING DISORD","8","1.1429"
"BROWN TA, 2013, EATING DISORD","8","1.0000"
"AUSTIN SB, 2013, EATING DISORD","8","1.0000"
"DICKIE L, 2012, EATING DISORD","8","0.8889"
"GARCÃ­A-VILLAMISAR D, 2012, EATING DISORD","8","0.8889"
"FELDMAN MB, 2011, EATING DISORD","8","0.8000"
"DAVIES MM, 2011, EATING DISORD","8","0.8000"
"FERRIER-AUERBACH AG, 2009, EATING DISORD","8","0.6667"
"MASSON PC, 2009, EATING DISORD","8","0.6667"
"GOLDFIELD GS, 2009, EATING DISORD-a","8","0.6667"
"RAM A, 2008, EATING DISORD","8","0.6154"
"CUMELLA EJ, 2007, EATING DISORD","8","0.5714"
"RUSSELL-MAYHEW S, 2006, EATING DISORD","8","0.5333"
"LEICHNER P, 2005, EATING DISORD","8","0.5000"
"COHN L, 2005, EATING DISORD","8","0.5000"
"EDMAN JL, 2005, EATING DISORD","8","0.5000"
"LIVESLEY WJ, 2005, EATING DISORD","8","0.5000"
"WITHERS GF, 2004, EATING DISORD","8","0.4706"
"ROSENVINGE JH, 2004, EATING DISORD","8","0.4706"
"MARX R, 2002, EATING DISORD","8","0.4211"
"WISEMAN CV, 2002, EATING DISORD","8","0.4211"
"SANSONE RA, 2002, EATING DISORD-a-b","8","0.4211"
"MILLER DJ, 2001, EATING DISORD","8","0.4000"
"SANSONE RA, 2001, EATING DISORD","8","0.4000"
"DALZELL HJ, 2000, EATING DISORD","8","0.3810"
"HARRIS MB, 1999, EATING DISORD","8","0.3636"
"THOMPSON RA, 1998, EATING DISORD","8","0.3478"
"MANN T, 1998, EATING DISORD","8","0.3478"
"KRCH FD, 1995, EATING DISORD","8","0.3077"
"ZERBE KJ, 1995, EATING DISORD","8","0.3077"
"CONNOR-GREENE PA, 1994, EATING DISORD","8","0.2963"
"VANDERLINDEN J, 1993, EATING DISORD","8","0.2857"
"CHEWNING-KORPACH M, 1993, EATING DISORD-a","8","0.2857"
"NOVELLE MG, 2018, EUR EATING DISORD REV","8","2.6667"
"ANASTASIADOU D, 2018, EUR EATING DISORD REV","8","2.6667"
"KENNY TE, 2018, EUR EATING DISORD REV","8","2.6667"
"TURTON R, 2018, EUR EATING DISORD REV","8","2.6667"
"MONTELEONE AM, 2017, EUR EATING DISORD REV-a","8","2.0000"
"MUNSCH S, 2017, EUR EATING DISORD REV","8","2.0000"
"GÃ¶RLACH MG, 2016, EUR EATING DISORD REV","8","1.6000"
"TETZLAFF A, 2016, EUR EATING DISORD REV","8","1.6000"
"ROERIG JL, 2015, EUR EATING DISORD REV","8","1.3333"
"SILÃ©N Y, 2015, EUR EATING DISORD REV","8","1.3333"
"VAZ-LEAL FJ, 2015, EUR EATING DISORD REV","8","1.3333"
"LAVENDER JM, 2015, EUR EATING DISORD REV","8","1.3333"
"NORRING C, 2014, EUR EATING DISORD REV","8","1.1429"
"VAZ AR, 2014, EUR EATING DISORD REV","8","1.1429"
"BARDONE-CONE AM, 2012, EUR EATING DISORD REV","8","0.8889"
"ZEPF FD, 2012, EUR EATING DISORD REV","8","0.8889"
"SIERRA-BAIGRIE S, 2012, EUR EATING DISORD REV","8","0.8889"
"UNIKEL C, 2012, EUR EATING DISORD REV","8","0.8889"
"ROJO-MORENO L, 2011, EUR EATING DISORD REV","8","0.8000"
"NISHIZONO-MAHER A, 2011, EUR EATING DISORD REV","8","0.8000"
"JAFFA T, 2011, EUR EATING DISORD REV","8","0.8000"
"GARCÃ­A-GRAU E, 2010, EUR EATING DISORD REV","8","0.7273"
"EAST P, 2010, EUR EATING DISORD REV","8","0.7273"
"MARIANO MHDA, 2010, EUR EATING DISORD REV","8","0.7273"
"GUERDJIKOVA AI, 2009, EUR EATING DISORD REV","8","0.6667"
"JONES A, 2008, EUR EATING DISORD REV","8","0.6154"
"EROL A, 2008, EUR EATING DISORD REV","8","0.6154"
"ARCELUS J, 2007, EUR EATING DISORD REV","8","0.5714"
"HOSTE RR, 2007, EUR EATING DISORD REV","8","0.5714"
"ROJO-MORENO L, 2006, EUR EATING DISORD REV","8","0.5333"
"RÃ¸ Ã˜, 2005, EUR EATING DISORD REV","8","0.5000"
"KORDY H, 2005, EUR EATING DISORD REV","8","0.5000"
"MORRIS J, 2004, EUR EATING DISORD REV","8","0.4706"
"VERVAET M, 2004, EUR EATING DISORD REV-a","8","0.4706"
"PAPEZOVA H, 2002, EUR EATING DISORD REV","8","0.4211"
"RUGGIERO GM, 2001, EUR EATING DISORD REV","8","0.4000"
"THIELS C, 2001, EUR EATING DISORD REV","8","0.4000"
"CONNAN F, 2000, EUR EATING DISORD REV","8","0.3810"
"VAN HANSWIJCK DE JOOGE P, 1999, EUR EATING DISORD REV","8","0.3636"
"WILSON GT, 1999, EUR EATING DISORD REV","8","0.3636"
"PALMER B, 1998, EUR EATING DISORD REV","8","0.3478"
"ZIPFEL S, 1998, EUR EATING DISORD REV","8","0.3478"
"LEWIS L, 1994, EUR EATING DISORD REV","8","0.2963"
"ZICKGRAF HF, 2019, INT J EATING DISORD-a","7","3.5000"
"GRILLOT CL, 2018, INT J EATING DISORD","7","2.3333"
"EIK-NES TT, 2018, INT J EATING DISORD","7","2.3333"
"CHOQUETTE EM, 2018, INT J EATING DISORD","7","2.3333"
"STUTTS LA, 2018, INT J EATING DISORD","7","2.3333"
"MATHISEN TF, 2018, INT J EATING DISORD","7","2.3333"
"MOREAN ME, 2018, INT J EATING DISORD","7","2.3333"
"MACDONALD DE, 2017, INT J EATING DISORD","7","1.7500"
"SHOMAKER LB, 2017, INT J EATING DISORD","7","1.7500"
"STEIGER H, 2017, INT J EATING DISORD","7","1.7500"
