"Document","DOI","Year","Local.Citations","Global.Citations"
"MEYER C, 2009, EUR EATING DISORD REV","10.1002/erv.950","2009","2","16"
"MCCABE MP, 2009, EUR EATING DISORD REV","10.1002/erv.929","2009","2","16"
"ARCELUS J, 2009, EUR EATING DISORD REV","10.1002/erv.932","2009","2","26"
"SKÃ¥RDERUD F, 2009, EUR EATING DISORD REV","10.1002/erv.923","2009","2","15"
"SYSKO R, 2009, EUR EATING DISORD REV","10.1002/erv.906","2009","2","17"
"FOX AP, 2009, EUR EATING DISORD REV","10.1002/erv.895","2009","2","25"
"ANNUS A, 2009, EUR EATING DISORD REV","10.1002/erv.899","2009","2","10"
"GONCALVES MD, 2009, EUR EATING DISORD REV","10.1002/erv.918","2009","2","12"
"SOUTHGATE L, 2008, EUR EATING DISORD REV","10.1002/erv.870","2008","2","18"
"WALDHERR K, 2008, EUR EATING DISORD REV","10.1002/erv.881","2008","2","13"
"PEREIRA AT, 2008, EUR EATING DISORD REV","10.1002/erv.846","2008","2","9"
"SOH NL-W, 2008, EUR EATING DISORD REV-a","10.1002/erv.836","2008","2","15"
"EROL A, 2008, EUR EATING DISORD REV","10.1002/erv.872","2008","2","8"
"BACHAR E, 2008, EUR EATING DISORD REV-a","10.1002/erv.840","2008","2","13"
"DOHNT HK, 2008, EUR EATING DISORD REV","10.1002/erv.814","2008","2","19"
"LATZER Y, 2008, EUR EATING DISORD REV-a","10.1002/erv.841","2008","2","15"
"BRAET C, 2007, EUR EATING DISORD REV","10.1002/erv.798","2007","2","31"
"MUNSCH S, 2007, EUR EATING DISORD REV","10.1002/erv.783","2007","2","4"
"MACEDO A, 2007, EUR EATING DISORD REV","10.1002/erv.735","2007","2","22"
"MCCABE MP, 2007, EUR EATING DISORD REV","10.1002/erv.717","2007","2","30"
"SAWDON AM, 2007, EUR EATING DISORD REV","10.1002/erv.739","2007","2","10"
"MASON HD, 2007, EUR EATING DISORD REV","10.1002/erv.719","2007","2","13"
"SANTONCINI CU, 2006, EUR EATING DISORD REV","10.1002/erv.757","2006","2","10"
"FRAYNE A, 2006, EUR EATING DISORD REV","10.1002/erv.731","2006","2","15"
"SIMPSON S, 2006, EUR EATING DISORD REV","10.1002/erv.686","2006","2","24"
"TZISCHINSKY O, 2006, EUR EATING DISORD REV","10.1002/erv.674","2006","2","7"
"RUSHFORD N, 2006, EUR EATING DISORD REV-a","10.1002/erv.682","2006","2","5"
"RHODES P, 2005, EUR EATING DISORD REV","10.1002/erv.658","2005","2","13"
"TORO J, 2005, EUR EATING DISORD REV","10.1002/erv.650","2005","2","23"
"CASSIN SE, 2005, EUR EATING DISORD REV","10.1002/erv.607","2005","2","11"
"BÃ¸GH EH, 2005, EUR EATING DISORD REV","10.1002/erv.601","2005","2","6"
"CLAES L, 2005, EUR EATING DISORD REV","10.1002/erv.612","2005","2","54"
"PEÃ±AS-LLEDÃ³ E, 2004, EUR EATING DISORD REV","10.1002/erv.588","2004","2","11"
"IMBIEROWICZ K, 2004, EUR EATING DISORD REV","10.1002/erv.591","2004","2","3"
"EKEROTH K, 2004, EUR EATING DISORD REV","10.1002/erv.581","2004","2","4"
"FRIESTAD C, 2004, EUR EATING DISORD REV","10.1002/erv.570","2004","2","17"
"LABERG S, 2004, EUR EATING DISORD REV","10.1002/erv.534","2004","2","17"
"VERVAET M, 2004, EUR EATING DISORD REV-a","10.1002/erv.542","2004","2","8"
"THEANDER SS, 2004, EUR EATING DISORD REV","10.1002/erv.559","2004","2","10"
"WAADDEGAARD M, 2003, EUR EATING DISORD REV","10.1002/erv.537","2003","2","19"
"ESPINA A, 2003, EUR EATING DISORD REV","10.1002/erv.530","2003","2","12"
"SCHMIDT U, 2003, EUR EATING DISORD REV","10.1002/erv.522","2003","2","13"
"LARSSON G, 2003, EUR EATING DISORD REV","10.1002/erv.497","2003","2","28"
"BEATO L, 2003, EUR EATING DISORD REV","10.1002/erv.508","2003","2","16"
"SCHMIDT U, 2003, EUR EATING DISORD REV-a","10.1002/erv.496","2003","2","4"
"LE GRANGE D, 2002, EUR EATING DISORD REV","10.1002/erv.469","2002","2","31"
"PAGE LA, 2002, EUR EATING DISORD REV","10.1002/erv.467","2002","2","6"
"CRISP A, 2002, EUR EATING DISORD REV","10.1002/erv.475","2002","2","9"
"JAFFA T, 2002, EUR EATING DISORD REV","10.1002/erv.464","2002","2","10"
"BILUKHA OO, 2002, EUR EATING DISORD REV","10.1002/erv.431","2002","2","20"
"PAPEZOVA H, 2002, EUR EATING DISORD REV","10.1002/erv.455","2002","2","8"
"MANTERO M, 2002, EUR EATING DISORD REV","10.1002/erv.453","2002","2","9"
"TATA P, 2001, EUR EATING DISORD REV","10.1002/erv.394","2001","2","24"
"JOJA O, 2001, EUR EATING DISORD REV","10.1002/erv.447","2001","2","4"
"GRIFFITHS RA, 2000, EUR EATING DISORD REV","3.0.CO;2-B"" target=""_blank"">10.1002/1099-0968(200010)8:53.0.CO;2-B","2000","2","28"
"THIELS C, 2000, EUR EATING DISORD REV","3.0.CO;2-K"" target=""_blank"">10.1002/1099-0968(200008)8:43.0.CO;2-K","2000","2","10"
"CHARPENTIER P, 2000, EUR EATING DISORD REV","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1099-0968(200005)8:33.0.CO;2-D","2000","2","4"
"PLATTE P, 2000, EUR EATING DISORD REV","3.0.CO;2-F"" target=""_blank"">10.1002/(SICI)1099-0968(200005)8:33.0.CO;2-F","2000","2","2"
"PEVELER R, 2000, EUR EATING DISORD REV","3.0.CO;2-V"" target=""_blank"">10.1002/(SICI)1099-0968(200003)8:23.0.CO;2-V","2000","2","9"
"LAMBERT M, 2000, EUR EATING DISORD REV","3.0.CO;2-F"" target=""_blank"">10.1002/(SICI)1099-0968(200003)8:23.0.CO;2-F","2000","2","11"
"LATTIMORE P, 2000, EUR EATING DISORD REV","3.0.CO;2-4"" target=""_blank"">10.1002/(SICI)1099-0968(200002)8:13.0.CO;2-4","2000","2","9"
"NEWTON JT, 2000, EUR EATING DISORD REV-a","3.0.CO;2-Z"" target=""_blank"">10.1002/(SICI)1099-0968(200002)8:13.0.CO;2-Z","2000","2","4"
"KEY A, 2000, EUR EATING DISORD REV","3.0.CO;2-T"" target=""_blank"">10.1002/(SICI)1099-0968(200003)8:23.0.CO;2-T","2000","2","15"
"BALLAUFF A, 1999, EUR EATING DISORD REV","3.0.CO;2-2"" target=""_blank"">10.1002/(SICI)1099-0968(199911)7:53.0.CO;2-2","1999","2","3"
"SUREDA B, 1999, EUR EATING DISORD REV","3.0.CO;2-N"" target=""_blank"">10.1002/(SICI)1099-0968(199908)7:43.0.CO;2-N","1999","2","17"
"KORDY H, 1999, EUR EATING DISORD REV","3.0.CO;2-N"" target=""_blank"">10.1002/(SICI)1099-0968(199908)7:43.0.CO;2-N","1999","2","11"
"WILSON GT, 1999, EUR EATING DISORD REV","3.0.CO;2-I"" target=""_blank"">10.1002/(SICI)1099-0968(199905)7:23.0.CO;2-I","1999","2","8"
"CHAMPION H, 1999, EUR EATING DISORD REV","3.0.CO;2-W"" target=""_blank"">10.1002/(SICI)1099-0968(199906)7:33.0.CO;2-W","1999","2","51"
"ROSENVINGE JH, 1999, EUR EATING DISORD REV-a","3.0.CO;2-T"" target=""_blank"">10.1002/(SICI)1099-0968(199903)7:13.0.CO;2-T","1999","2","22"
"LÃ©ONARD T, 1998, EUR EATING DISORD REV","3.0.CO;2-G"" target=""_blank"">10.1002/(SICI)1099-0968(199809)6:33.0.CO;2-G","1998","2","14"
"TURNBULL SJ, 1997, EUR EATING DISORD REV","3.0.CO;2-3"" target=""_blank"">10.1002/(SICI)1099-0968(199712)5:43.0.CO;2-3","1997","2","14"
"OGDEN J, 1997, EUR EATING DISORD REV","3.0.CO;2-N"" target=""_blank"">10.1002/(SICI)1099-0968(199706)5:23.0.CO;2-N","1997","2","39"
"SCURLOCK H, 1997, EUR EATING DISORD REV","3.0.CO;2-Q"" target=""_blank"">10.1002/(SICI)1099-0968(199703)5:13.0.CO;2-Q","1997","2","6"
"SERPELL L, 1997, EUR EATING DISORD REV","3.0.CO;2-8"" target=""_blank"">10.1002/(SICI)1099-0968(199709)5:33.0.CO;2-8","1997","2","17"
"OVERDUIN J, 1996, EUR EATING DISORD REV","","1996","2","15"
"SALMON G, 1996, EUR EATING DISORD REV","3.0.CO;2-Y"" target=""_blank"">10.1002/(SICI)1099-0968(199609)4:33.0.CO;2-Y","1996","2","3"
"ONO Y, 1996, EUR EATING DISORD REV","3.0.CO;2-5"" target=""_blank"">10.1002/(SICI)1099-0968(199606)4:23.0.CO;2-5","1996","2","3"
"MCCOURT J, 1996, EUR EATING DISORD REV","3.0.CO;2-2"" target=""_blank"">10.1002/(SICI)1099-0968(199606)4:23.0.CO;2-2","1996","2","18"
"ROMANO SJ, 1995, EUR EATING DISORD REV","10.1002/erv.2400030203","1995","2","7"
"VAN DER STER WALLIN G, 1994, EUR EATING DISORD REV","10.1002/erv.2400020406","1994","2","7"
"VANDEREYCKEN W, 1993, EUR EATING DISORD REV","10.1002/erv.2400010307","1993","2","5"
"MACHAN J, 1993, EUR EATING DISORD REV","10.1002/erv.2400010106","1993","2","4"
"AULINAS A, 2020, INT J EATING DISORD","10.1002/eat.23261","2020","1","1"
"CARTER JC, 2020, INT J EATING DISORD","10.1002/eat.23208","2020","1","2"
"MOHAMMADI MR, 2020, INT J EATING DISORD","10.1002/eat.23197","2020","1","3"
"KAMBANIS PE, 2020, INT J EATING DISORD","10.1002/eat.23191","2020","1","2"
"LINARDON J, 2020, INT J EATING DISORD-a","10.1002/eat.23268","2020","1","1"
"ARTS H, 2020, INT J EATING DISORD","10.1002/eat.23173","2020","1","1"
"FAIRWEATHER-SCHMIDT AK, 2020, INT J EATING DISORD","10.1002/eat.23155","2020","1","1"
"STROBEL C, 2019, INT J EATING DISORD","10.1002/eat.23151","2019","1","1"
"BARDONE-CONE AM, 2019, INT J EATING DISORD","10.1002/eat.23153","2019","1","1"
"MURRAY SB, 2019, INT J EATING DISORD-a","10.1002/eat.23144","2019","1","3"
"QUADFLIEG N, 2019, INT J EATING DISORD","10.1002/eat.23135","2019","1","3"
"NAGATA JM, 2019, INT J EATING DISORD","10.1002/eat.23094","2019","1","6"
"HÃ¼BEL C, 2019, INT J EATING DISORD","10.1002/eat.23158","2019","1","1"
"COLLU R, 2019, INT J EATING DISORD","10.1002/eat.23157","2019","1","2"
"PIERS AD, 2019, INT J EATING DISORD","10.1002/eat.23149","2019","1","1"
"DOOLEY-HASH S, 2019, INT J EATING DISORD","10.1002/eat.23140","2019","1","2"
"FERGUS KB, 2019, INT J EATING DISORD","10.1002/eat.23132","2019","1","3"
"SMITH KE, 2019, INT J EATING DISORD","10.1002/eat.23124","2019","1","1"
"YAN H, 2019, INT J EATING DISORD","10.1002/eat.23148","2019","1","1"
"LEVINSON CA, 2019, INT J EATING DISORD","10.1002/eat.23120","2019","1","2"
"SPROCH LE, 2019, INT J EATING DISORD","10.1002/eat.23143","2019","1","2"
"LE GRANGE D, 2019, INT J EATING DISORD","10.1002/eat.23138","2019","1","1"
"GALBRAITH K, 2019, INT J EATING DISORD","10.1002/eat.23125","2019","1","1"
"SCHAEFER LM, 2019, INT J EATING DISORD","10.1002/eat.23126","2019","1","1"
"DALLE GRAVE R, 2019, INT J EATING DISORD","10.1002/eat.23122","2019","1","3"
"SULTSON H, 2019, INT J EATING DISORD","10.1002/eat.23119","2019","1","1"
"HUGHES EK, 2019, INT J EATING DISORD","10.1002/eat.23118","2019","1","2"
"TOMBA E, 2019, INT J EATING DISORD","10.1002/eat.23095","2019","1","2"
"BUCHMAN S, 2019, INT J EATING DISORD","10.1002/eat.23088","2019","1","1"
"PULLMER R, 2019, INT J EATING DISORD","10.1002/eat.23081","2019","1","5"
"ZHENG Y, 2019, INT J EATING DISORD","10.1002/eat.23069","2019","1","1"
"JONES CL, 2019, INT J EATING DISORD","10.1002/eat.23072","2019","1","2"
"HUSSAIN AA, 2019, INT J EATING DISORD","10.1002/eat.23051","2019","1","3"
"LYDECKER JA, 2019, INT J EATING DISORD","10.1002/eat.23074","2019","1","2"
"DINKLER L, 2019, INT J EATING DISORD","10.1002/eat.23066","2019","1","2"
"CHAN CY, 2019, INT J EATING DISORD","10.1002/eat.23065","2019","1","2"
"HARRIS AA, 2019, INT J EATING DISORD","10.1002/eat.23047","2019","1","2"
"PISTELLA J, 2019, INT J EATING DISORD","10.1002/eat.23055","2019","1","3"
"MATTAVELLI G, 2019, INT J EATING DISORD","10.1002/eat.23046","2019","1","2"
"NAGATA JM, 2019, INT J EATING DISORD-a-b","10.1002/eat.23048","2019","1","4"
"GORRELL S, 2019, INT J EATING DISORD","10.1002/eat.23034","2019","1","1"
"EDDY KT, 2019, INT J EATING DISORD","10.1002/eat.23052","2019","1","2"
"SCHMIDT R, 2019, INT J EATING DISORD","10.1002/eat.23063","2019","1","4"
"MAKHZOUMI SH, 2019, INT J EATING DISORD","10.1002/eat.23049","2019","1","4"
"KATZMAN DK, 2019, INT J EATING DISORD","10.1002/eat.23021","2019","1","2"
"KAPLAN AS, 2019, INT J EATING DISORD","10.1002/eat.23019","2019","1","4"
"IZQUIERDO A, 2019, INT J EATING DISORD","10.1002/eat.22981","2019","1","6"
"STRAND M, 2019, INT J EATING DISORD","10.1002/eat.22962","2019","1","3"
"DAHLENBURG SC, 2019, INT J EATING DISORD","10.1002/eat.23009","2019","1","4"
"WEIGEL TJ, 2019, INT J EATING DISORD","10.1002/eat.23028","2019","1","2"
"SPARTI C, 2019, INT J EATING DISORD","10.1002/eat.23032","2019","1","3"
"TROMPETER N, 2019, INT J EATING DISORD","10.1002/eat.23018","2019","1","2"
"CARR MM, 2019, INT J EATING DISORD","10.1002/eat.23003","2019","1","3"
"OLIVO G, 2019, INT J EATING DISORD","10.1002/eat.23012","2019","1","5"
"KIRKPATRICK R, 2019, INT J EATING DISORD","10.1002/eat.23017","2019","1","2"
"WADE TD, 2019, INT J EATING DISORD","10.1002/eat.23165","2019","1","3"
"PUCCI M, 2019, INT J EATING DISORD","10.1002/eat.22989","2019","1","5"
"LEBOW J, 2019, INT J EATING DISORD","10.1002/eat.23000","2019","1","1"
"LINARDON J, 2018, INT J EATING DISORD","10.1002/eat.22986","2018","1","3"
"PLATEAU CR, 2018, INT J EATING DISORD","10.1002/eat.22966","2018","1","3"
"NAGATA JM, 2018, INT J EATING DISORD","10.1002/eat.22953","2018","1","1"
"TSAI M-C, 2018, INT J EATING DISORD","10.1002/eat.22970","2018","1","2"
"CLAUSEN L, 2018, INT J EATING DISORD","10.1002/eat.22968","2018","1","3"
"LEVINSON CA, 2018, INT J EATING DISORD","10.1002/eat.22952","2018","1","2"
"REAS DL, 2018, INT J EATING DISORD","10.1002/eat.22949","2018","1","4"
"PLUHAR EI, 2018, INT J EATING DISORD","10.1002/eat.22954","2018","1","6"
"SANSFAÃ§ON J, 2018, INT J EATING DISORD","10.1002/eat.22901","2018","1","1"
"HAYNOS AF, 2018, INT J EATING DISORD","10.1002/eat.22963","2018","1","6"
"WADE T, 2018, INT J EATING DISORD","10.1002/eat.22944","2018","1","1"
"GUARDA AS, 2018, INT J EATING DISORD","10.1002/eat.22899","2018","1","2"
"DENISON-DAY J, 2018, INT J EATING DISORD","10.1002/eat.22945","2018","1","4"
"CHEN Y-W, 2018, INT J EATING DISORD","10.1002/eat.22937","2018","1","3"
"NAKAI Y, 2018, INT J EATING DISORD","10.1002/eat.22935","2018","1","6"
"HILDEBRANDT BA, 2018, INT J EATING DISORD","10.1002/eat.22895","2018","1","2"
"JUARASCIO AS, 2018, INT J EATING DISORD","10.1002/eat.22924","2018","1","5"
"SAÄŸLAM T, 2018, INT J EATING DISORD","10.1002/eat.22923","2018","1","2"
"CHERUBINI V, 2018, INT J EATING DISORD","10.1002/eat.22889","2018","1","8"
"MONELL E, 2018, INT J EATING DISORD","10.1002/eat.22925","2018","1","8"
"OLSON KL, 2018, INT J EATING DISORD","10.1002/eat.22874","2018","1","6"
"AOUAD P, 2018, INT J EATING DISORD","10.1002/eat.22873","2018","1","2"
"HÃ¼BEL C, 2018, INT J EATING DISORD","10.1002/eat.22896","2018","1","4"
"MCCAIG D, 2018, INT J EATING DISORD","10.1002/eat.22882","2018","1","3"
"WADE TD, 2018, INT J EATING DISORD","10.1002/eat.22872","2018","1","2"
"SHANK LM, 2018, INT J EATING DISORD","10.1002/eat.22866","2018","1","3"
"SOLMI M, 2018, INT J EATING DISORD-a","10.1002/eat.22861","2018","1","3"
"LYDECKER JA, 2018, INT J EATING DISORD","10.1002/eat.22858","2018","1","6"
"ALKAZEMI D, 2018, INT J EATING DISORD","10.1002/eat.22852","2018","1","4"
"DONALDSON AA, 2018, INT J EATING DISORD","10.1002/eat.22868","2018","1","5"
"PENNESI J-L, 2018, INT J EATING DISORD","10.1002/eat.22849","2018","1","6"
"VANNUCCI A, 2018, INT J EATING DISORD","10.1002/eat.22845","2018","1","5"
"KLIMEK P, 2018, INT J EATING DISORD-a","10.1002/eat.22844","2018","1","15"
"GANCI M, 2018, INT J EATING DISORD","10.1002/eat.22834","2018","1","3"
"VARTANIAN LR, 2018, INT J EATING DISORD","10.1002/eat.22835","2018","1","11"
"TABLER J, 2018, INT J EATING DISORD","10.1002/eat.22827","2018","1","5"
"KÃ¶NIG H-H, 2018, INT J EATING DISORD","10.1002/eat.22822","2018","1","9"
"SIMEUNOVIC OSTOJIC M, 2018, INT J EATING DISORD","10.1002/eat.22817","2018","1","3"
"KIM Y, 2018, INT J EATING DISORD","10.1002/eat.22820","2018","1","5"
"YAN Y, 2018, INT J EATING DISORD","10.1002/eat.22808","2018","1","3"
"KEEL PK, 2018, INT J EATING DISORD","10.1002/eat.22806","2018","1","6"
"KELLY NR, 2018, INT J EATING DISORD","10.1002/eat.22803","2018","1","6"
"BANG L, 2018, INT J EATING DISORD","10.1002/eat.22802","2018","1","12"
"DE OLIVEIRA C, 2017, INT J EATING DISORD","10.1002/eat.22797","2017","1","4"
"LARSEN JT, 2017, INT J EATING DISORD","10.1002/eat.22798","2017","1","8"
"ROSE C, 2017, INT J EATING DISORD","10.1002/eat.22778","2017","1","8"
"AFIFI TO, 2017, INT J EATING DISORD","10.1002/eat.22783","2017","1","24"
"MURRAY SB, 2017, INT J EATING DISORD","10.1002/eat.22776","2017","1","4"
"ANDERSON KE, 2017, INT J EATING DISORD","10.1002/eat.22759","2017","1","13"
"WOODSIDE DB, 2017, INT J EATING DISORD","10.1002/eat.22764","2017","1","5"
"SCHÃ¤FER L, 2017, INT J EATING DISORD","10.1002/eat.22760","2017","1","6"
"MICIONI DI BONAVENTURA MV, 2017, INT J EATING DISORD","10.1002/eat.22767","2017","1","8"
"CARTWRIGHT A, 2017, INT J EATING DISORD","10.1002/eat.22773","2017","1","4"
"YAO S, 2017, INT J EATING DISORD","10.1002/eat.22743","2017","1","2"
"GRENON R, 2017, INT J EATING DISORD","10.1002/eat.22744","2017","1","11"
"SHOMAKER LB, 2017, INT J EATING DISORD","10.1002/eat.22741","2017","1","7"
"BASKARAN C, 2017, INT J EATING DISORD","10.1002/eat.22732","2017","1","5"
"ANDERSÃ©N M, 2017, INT J EATING DISORD","10.1002/eat.22730","2017","1","4"
"FITZSIMMONS-CRAFT EE, 2017, INT J EATING DISORD","10.1002/eat.22725","2017","1","11"
"MCELROY SL, 2017, INT J EATING DISORD","10.1002/eat.22722","2017","1","8"
"WEINBACH N, 2017, INT J EATING DISORD","10.1002/eat.22711","2017","1","5"
"EL GHOCH M, 2017, INT J EATING DISORD","10.1002/eat.22721","2017","1","5"
"CONCEIÃ§Ã£O EM, 2017, INT J EATING DISORD","10.1002/eat.22700","2017","1","6"
"KASS AE, 2017, INT J EATING DISORD","10.1002/eat.22693","2017","1","4"
"KLIEM S, 2017, INT J EATING DISORD","10.1002/eat.22658","2017","1","6"
"PISETSKY EM, 2017, INT J EATING DISORD","10.1002/eat.22694","2017","1","4"
"LYDECKER JA, 2017, INT J EATING DISORD","10.1002/eat.22648","2017","1","6"
"SCHREYER CC, 2017, INT J EATING DISORD","10.1002/eat.22650","2017","1","1"
"EMERY RL, 2017, INT J EATING DISORD","10.1002/eat.22646","2017","1","4"
"GIANINI LM, 2017, INT J EATING DISORD","10.1002/eat.22685","2017","1","3"
"STRAND M, 2017, INT J EATING DISORD","10.1002/eat.22659","2017","1","7"
"WHITE HJ, 2017, INT J EATING DISORD","10.1002/eat.22647","2017","1","2"
"GELLER J, 2017, INT J EATING DISORD-a-b","10.1002/eat.22654","2017","1","2"
"ROBERTO CA, 2017, INT J EATING DISORD","10.1002/eat.22678","2017","1","4"
"BODE K, 2017, INT J EATING DISORD","10.1002/eat.22686","2017","1","4"
"O'CONNOR SM, 2017, INT J EATING DISORD","10.1002/eat.22625","2017","1","3"
"MOODY TD, 2017, INT J EATING DISORD","10.1002/eat.22604","2017","1","13"
"HOLLAND G, 2017, INT J EATING DISORD","10.1002/eat.22559","2017","1","43"
"SMITH AR, 2016, INT J EATING DISORD","10.1002/eat.22588","2016","1","12"
"REAS DL, 2016, INT J EATING DISORD","10.1002/eat.22606","2016","1","5"
"LOTH KA, 2016, INT J EATING DISORD","10.1002/eat.22641","2016","1","9"
"MCINTOSH VVW, 2016, INT J EATING DISORD","10.1002/eat.22555","2016","1","2"
"ALLEN KL, 2016, INT J EATING DISORD","10.1002/eat.22561","2016","1","7"
"LOUNG RPY, 2016, INT J EATING DISORD","10.1002/eat.22558","2016","1","1"
"KILWEIN TM, 2016, INT J EATING DISORD","10.1002/eat.22534","2016","1","9"
"GOLDSCHMIDT AB, 2016, INT J EATING DISORD","10.1002/eat.22525","2016","1","6"
"CASPER RC, 2016, INT J EATING DISORD","10.1002/eat.22575","2016","1","4"
"PACANOWSKI CR, 2016, INT J EATING DISORD-a","10.1002/eat.22537","2016","1","3"
"BRETON J, 2016, INT J EATING DISORD","10.1002/eat.22531","2016","1","35"
"ROGGEN I, 2016, INT J EATING DISORD","10.1002/eat.22533","2016","1","1"
"BORA E, 2016, INT J EATING DISORD","10.1002/eat.22572","2016","1","38"
"LOEBER S, 2016, INT J EATING DISORD","10.1002/eat.22524","2016","1","8"
"NOBLES CJ, 2016, INT J EATING DISORD","10.1002/eat.22539","2016","1","5"
"FORNEY KJ, 2016, INT J EATING DISORD","10.1002/eat.22508","2016","1","9"
"SWAMI V, 2016, INT J EATING DISORD","10.1002/eat.22509","2016","1","3"
"CALUGI S, 2016, INT J EATING DISORD","10.1002/eat.22549","2016","1","11"
"EL GHOCH M, 2016, INT J EATING DISORD","10.1002/eat.22548","2016","1","1"
"UTZINGER LM, 2016, INT J EATING DISORD-a","10.1002/eat.22532","2016","1","11"
"PUGH M, 2016, INT J EATING DISORD","10.1002/eat.22499","2016","1","15"
"MATINOLLI H-M, 2016, INT J EATING DISORD","10.1002/eat.22553","2016","1","4"
"CORNELISSEN KK, 2016, INT J EATING DISORD","10.1002/eat.22505","2016","1","10"
"SCHREYER CC, 2016, INT J EATING DISORD","10.1002/eat.22476","2016","1","6"
"GAUDIANI JL, 2016, INT J EATING DISORD","10.1002/eat.22437","2016","1","9"
"BURTON AL, 2016, INT J EAT DISORD","10.1002/eat.22453","2016","1","22"
"LEWIS-SMITH H, 2016, INT J EATING DISORD-a","10.1002/eat.22480","2016","1","18"
"MÃ¥NSSON J, 2016, INT J EATING DISORD","10.1002/eat.22379","2016","1","11"
"DAMIANO SR, 2015, INT J EATING DISORD","10.1002/eat.22432","2015","1","19"
"KASS AE, 2015, INT J EATING DISORD","10.1002/eat.22444","2015","1","1"
"KOTHARI R, 2015, INT J EATING DISORD","10.1002/eat.22429","2015","1","4"
"COUTINHO JFP, 2015, INT J EATING DISORD","10.1002/eat.22273","2015","1","15"
"STRAND M, 2015, INT J EATING DISORD","10.1002/eat.22445","2015","1","5"
"FORBUSH KT, 2015, INT J EATING DISORD","10.1002/eat.22369","2015","1","7"
"UTZINGER LM, 2015, INT J EATING DISORD","10.1002/eat.22422","2015","1","3"
"EISENBERG ME, 2015, INT J EATING DISORD","10.1002/eat.22348","2015","1","22"
"SCHVEY NA, 2015, INT J EATING DISORD","10.1002/eat.22424","2015","1","6"
"BURKERT NT, 2015, INT J EATING DISORD","10.1002/eat.22397","2015","1","13"
"PEAT CM, 2015, INT J EATING DISORD","10.1002/eat.22359","2015","1","5"
"FAIRWEATHER-SCHMIDT K, 2015, INT J EATING DISORD","10.1002/eat.22363","2015","1","5"
"CARDONA CANO S, 2015, INT J EATING DISORD","10.1002/eat.22384","2015","1","90"
"KLEIMAN SC, 2015, INT J EATING DISORD","10.1002/eat.22394","2015","1","20"
"BOULD H, 2015, INT J EATING DISORD","10.1002/eat.22325","2015","1","21"
"PERRIN EM, 2015, INT J EATING DISORD","10.1002/eat.22290","2015","1","8"
"FIORILLO A, 2015, INT J EATING DISORD","10.1002/eat.22367","2015","1","7"
"DRYER R, 2015, INT J EATING DISORD","10.1002/eat.22269","2015","1","3"
"FORSBERG S, 2015, INT J EATING DISORD","10.1002/eat.22337","2015","1","6"
"FRAGA A, 2015, INT J EATING DISORD","10.1002/eat.22357","2015","1","9"
"ELRAN-BARAK R, 2014, INT J EATING DISORD","10.1002/eat.22289","2014","1","8"
"DAVIS HA, 2014, INT J EATING DISORD","10.1002/eat.22191","2014","1","10"
"WILDES JE, 2014, INT J EATING DISORD-a","10.1002/eat.22243","2014","1","11"
"GOLDSCHMIDT AB, 2014, INT J EATING DISORD","10.1002/eat.22192","2014","1","5"
"SAFFREY R, 2014, INT J EATING DISORD","10.1002/eat.22200","2014","1","20"
"NAKAI Y, 2014, INT J EATING DISORD","10.1002/eat.22208","2014","1","6"
"TAKIMOTO Y, 2014, INT J EATING DISORD","10.1002/eat.22202","2014","1","12"
"SCHEBENDACH JE, 2014, INT J EATING DISORD","10.1002/eat.22226","2014","1","6"
"VANNUCCI A, 2014, INT J EATING DISORD","10.1002/eat.22305","2014","1","14"
"SUISMAN JL, 2014, INT J EATING DISORD","10.1002/eat.22321","2014","1","19"
"BREWERTON TD, 2014, INT J EATING DISORD","10.1002/eat.22309","2014","1","22"
"MUSTELIN L, 2014, INT J EATING DISORD","10.1002/eat.22311","2014","1","4"
"STEINGLASS JE, 2014, INT J EATING DISORD-a","10.1002/eat.22343","2014","1","10"
"KIMBER M, 2014, INT J EATING DISORD","10.1002/eat.22295","2014","1","6"
"FAVARO A, 2014, INT J EATING DISORD","10.1002/eat.22320","2014","1","15"
"ELSADEK AM, 2014, INT J EATING DISORD","10.1002/eat.22285","2014","1","10"
"VARTANIAN LR, 2014, INT J EATING DISORD","10.1002/eat.22313","2014","1","14"
"WATSON HJ, 2014, INT J EATING DISORD-a","10.1002/eat.22252","2014","1","6"
"SWANSON SA, 2014, INT J EATING DISORD-a","10.1002/eat.22250","2014","1","14"
"HUDSON LD, 2014, INT J EATING DISORD","10.1002/eat.22262","2014","1","1"
"MAREK RJ, 2014, INT J EATING DISORD-a","10.1002/eat.22268","2014","1","23"
"COELHO JS, 2014, INT J EATING DISORD","10.1002/eat.22207","2014","1","10"
"MURRAY SB, 2014, INT J EATING DISORD","10.1002/eat.22230","2014","1","4"
"BALODIS IM, 2014, INT J EATING DISORD","10.1002/eat.22204","2014","1","41"
"IOANNIDIS K, 2014, INT J EATING DISORD","10.1002/eat.22231","2014","1","9"
"TSENG M-CM, 2014, INT J EATING DISORD","10.1002/eat.22183","2014","1","9"
"PINHAS-HAMIEL O, 2013, INT J EATING DISORD","10.1002/eat.22138","2013","1","17"
"IRON-SEGEV S, 2013, INT J EATING DISORD","10.1002/eat.22165","2013","1","2"
"SUDA M, 2013, INT J EATING DISORD","10.1002/eat.22150","2013","1","10"
